순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,363,여자,20대,부산
2,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9791191824001,3810,813.7,332,여자,20대,부산
3,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9791190090018,3810,813.7,327,여자,20대,부산
4,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9788954672214,3810,813.7,326,여자,20대,부산
5,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,,9791190174756,3810,813.7,324,여자,20대,부산
6,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2020,,9791165341909,3810,813.7,309,여자,20대,부산
7,아몬드손원평 장편소설,손원평,창비,2017,,9788936434267,3810,813.7,307,여자,20대,부산
8,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,,9791190090261,3810,813.7,297,여자,20대,부산
9,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,,9791188862290,3810,813.7,270,여자,20대,부산
10,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,,9791189327156,3400,490.99,256,여자,20대,부산
11,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,,9788954641630,3810,813.7,250,여자,20대,부산
11,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,,9788998441074,3810,813.62,250,여자,20대,부산
13,어린이라는 세계 :김소영 에세이 ,지은이: 김소영,사계절(사계절출판사),2020,,9791160946918,3810,818,235,여자,20대,부산
14,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9788954681179,3810,813.7,230,여자,20대,부산
14,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9791191056556,3840,843.6,230,여자,20대,부산
16,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,2,9791165343729,3810,813.7,226,여자,20대,부산
17,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9788936434120,3810,813.62,207,여자,20대,부산
18,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,,9788936434243,3810,813.7,205,여자,20대,부산
19,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,,9788954681155,3810,813.7,194,여자,20대,부산
19,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,,9791160406504,3810,813.7,194,여자,20대,부산
21,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,,9788960907003,3810,813.7,192,여자,20대,부산
22,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,,9788998441012,3810,813.62,191,여자,20대,부산
23,선량한 차별주의자 ,김지혜 지음,창비,2019,,9788936477196,3300,334,184,여자,20대,부산
24,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,182,여자,20대,부산
25,목소리를 드릴게요 :정세랑 소설집 ,지은이: 정세랑,아작,2020,,9791165300005,3810,813.7,170,여자,20대,부산
26,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,,9788956609959,3810,813.7,165,여자,20대,부산
27,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,,9788954651820,3810,813.7,161,여자,20대,부산
28,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,,9791189015381,3810,813.7,160,여자,20대,부산
