순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9788936446819,77810,813.7,62,여자,영유아(0~5세),대구
2,당근 유치원 ,지은이: 안녕달,창비,2020,,9788936455484,77810,813.7,46,여자,영유아(0~5세),대구
3,눈아이 :안녕달 그림책 ,지은이: 안녕달,창비,2021,,9788936455736,77810,813.7,42,여자,영유아(0~5세),대구
4,알사탕 ,백희나,책읽는곰,2017,,9791158360375,77810,813.7,40,여자,영유아(0~5세),대구
5,이상한 엄마 ,백희나,책읽는곰,2016,,9791158360214,77810,813.7,36,여자,영유아(0~5세),대구
6,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,,9788901232232,74800,813.7,35,여자,영유아(0~5세),대구
7,슈퍼 토끼 :유설화 그림책 ,유설화 글·그림,책읽는곰,2020,,9791158361839,77810,813.7,34,여자,영유아(0~5세),대구
8,식빵 유령 ,글·그림: 윤지,웅진씽크빅,2020,,9788901245690,74800,813.7,33,여자,영유아(0~5세),대구
9,빵도둑 ,시바타 케이코 글·그림 ;황진희 옮김,길벗어린이,2021,,9788955825961,77830,833.6,31,여자,영유아(0~5세),대구
9,착한 달걀 ,조리 존 글 ;김경희 옮김,길벗어린이,2022,,9788955826418,74800,843,31,여자,영유아(0~5세),대구
9,숲속 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,,9788966351411,74830,833.6,31,여자,영유아(0~5세),대구
12,카레가 보글보글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2020,,9791158361884,77830,833.6,30,여자,영유아(0~5세),대구
12,케이크가 커졌어요! ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2021,,9791158362515,77830,833.6,30,여자,영유아(0~5세),대구
12,바다가 좋아! 토끼 베이커리 ,글·그림: 마츠오 리카코 ;옮김: 문지연,지학사아르볼,2021,,9791162041178,77830,833.6,30,여자,영유아(0~5세),대구
15,튤립 호텔 :김지안 그림책 ,지은이: 김지안,창비,2022,,9788936455842,77810,813.7,29,여자,영유아(0~5세),대구
15,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,,9788964963678,77840,843,29,여자,영유아(0~5세),대구
15,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,,9788966350759,74830,833.6,29,여자,영유아(0~5세),대구
15,메리 :안녕달 그림책 ,글·그림: 안녕달,사계절,2017,,9791160943061,77810,813.7,29,여자,영유아(0~5세),대구
15,빵이 되고 싶은 토끼 ,마루야마 나오 지음 ;고향옥 옮김,스푼북,2020,,9791165810184,77830,833.6,29,여자,영유아(0~5세),대구
20,대장 토끼는 나다운 게 좋아 ,큐라이스 글·그림 ;황진희 옮김,토토북,2021,,9788964964422,77830,833.6,28,여자,영유아(0~5세),대구
20,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,,9791160946673,77810,813.7,28,여자,영유아(0~5세),대구
22,겨울은 어떤 곳이야? ,구도 노리코 지음 ;엄혜숙 옮김,천개의바람,2022,,9791165732196,77830,833.6,27,여자,영유아(0~5세),대구
23,친구의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2021,,9788901251226,74800,813.7,26,여자,영유아(0~5세),대구
23,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,,9788966350278,74830,833.6,26,여자,영유아(0~5세),대구
23,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,,9788993242706,77810,813.7,26,여자,영유아(0~5세),대구
23,연이와 버들 도령 ,백희나,책읽는곰,2022,,9791158362836,77810,813.7,26,여자,영유아(0~5세),대구
