순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,447,여자,40대,인천
2,나라는 식물을 키워보기로 했다 :유해한 것들 속에서 나를 가꾸는 셀프가드닝 프로젝트 ,글: 김은주 ;그림: 워리 라인스,백도씨,2021,,9788968333255,3810,818,347,여자,40대,인천
3,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9791197377143,3810,813.7,334,여자,40대,인천
4,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2020,,9791165341909,3810,813.7,312,여자,40대,인천
5,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,1,9791165343996,3320,325.04,311,여자,40대,인천
6,아몬드손원평 장편소설,손원평,창비,2017,,9788936434267,3810,813.7,305,여자,40대,인천
7,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,304,여자,40대,인천
8,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,301,여자,40대,인천
9,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9788949123493,44800,813.7,291,여자,40대,인천
10,긴긴밤 ,루리 글·그림,문학동네,2021,,9788954677158,73810,813.7,285,여자,40대,인천
10,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,2,9791165343729,3810,813.7,285,여자,40대,인천
12,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,,9788954650212,3810,813.7,279,여자,40대,인천
13,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,276,여자,40대,인천
14,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9791191056556,3840,843.6,272,여자,40대,인천
15,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9788954681179,3810,813.7,269,여자,40대,인천
16,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9791164060481,74830,833.6,267,여자,40대,인천
17,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,2,9791165344009,3320,325.04,262,여자,40대,인천
18,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,12,9791164063956,74830,833.6,256,여자,40대,인천
19,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,3,9791165344221,3320,325.04,255,여자,40대,인천
20,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9788954654753,3810,813.7,246,여자,40대,인천
21,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9791164134847,77810,810,244,여자,40대,인천
22,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,2,9791164060498,74830,833.6,241,여자,40대,인천
23,망원동 브라더스 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2013,,9788997962129,3810,813.7,236,여자,40대,인천
24,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,6,9791164062072,74830,833.6,227,여자,40대,인천
25,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,11,9791164063734,74830,833.6,226,여자,40대,인천
25,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,13,9791164064281,74830,833.6,226,여자,40대,인천
25,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9791164136261,77810,810,226,여자,40대,인천
28,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9791164134267,77810,810,222,여자,40대,인천
28,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9791164137527,77810,810,222,여자,40대,인천
30,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,3,9791164060931,74830,833.6,216,여자,40대,인천
31,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,7,9791164062270,74830,833.6,215,여자,40대,인천
32,페인트 :이희영 장편소설 ,지은이: 이희영,창비,2019,,9788936456894,43810,813.7,211,여자,40대,인천
33,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9791164135592,77810,810,209,여자,40대,인천
34,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,207,여자,40대,인천
