순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,고구마유 ,지은이: 사이다,반달,2021,,9788956181196,77810,813.7,15,여자,영유아(0~5세),제주
2,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,,9791160946673,77810,813.7,14,여자,영유아(0~5세),제주
3,당근 유치원 ,지은이: 안녕달,창비,2020,,9788936455484,77810,813.7,13,여자,영유아(0~5세),제주
4,회오리바람 공주 ,글: 마르크 캉탱 ;번역: 신선영,웅진씽크빅,2010,,9788901102429,74800,863,12,여자,영유아(0~5세),제주
4,내 사랑 늑대 ,글: 아녜스 드 레스트라드 ;번역: 신선영,웅진씽크빅,2010,,9788901102436,74800,863,12,여자,영유아(0~5세),제주
4,산타의 썰매를 끌고 싶어! ,글: 멜리 마를로 ;번역: 신선영,웅진씽크빅,2010,,9788901102443,74800,863,12,여자,영유아(0~5세),제주
4,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9788936446819,77810,813.7,12,여자,영유아(0~5세),제주
4,왜냐면… ,안녕달 글·그림,책읽는곰,2017,,9791158360382,77810,813.7,12,여자,영유아(0~5세),제주
9,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,,9788964963678,77840,843,11,여자,영유아(0~5세),제주
10,슈퍼 토끼 :유설화 그림책 ,유설화 글·그림,책읽는곰,2020,,9791158361839,77810,813.7,10,여자,영유아(0~5세),제주
10,뭔가 특별한 아저씨,진수경 (지은이),천개의바람,2018,,9791187287902,77810,813.8,10,여자,영유아(0~5세),제주
12,사자 소년 이사 ,글: 크리스틴 프라세토 ;번역: 조현실,웅진씽크빅,2010,,9788901102658,74800,863,9,여자,영유아(0~5세),제주
12,아빠가 나무로 변했어요! ,글: 아녜스 베르트롱 마르탱 ;번역: 조현실,웅진씽크빅,2010,,9788901102665,74800,863,9,여자,영유아(0~5세),제주
12,"쿵쿵, 비를 내리게 하는 춤 ",글: 마르크앙투안 포포비치 ;번역: 조현실,웅진씽크빅,2010,,9788901102672,74800,863,9,여자,영유아(0~5세),제주
12,"트랄랄라, 노래하는 탱타마르 ",글: 도미니크 뒤프리에 ;번역: 조현실,웅진씽크빅,2010,,9788901102689,74800,863,9,여자,영유아(0~5세),제주
12,심술 마녀와 명랑한 아나엘 ,글: 아녜스 베르트롱 마르탱 ;번역: 조현실,웅진씽크빅,2010,,9788901102696,74800,863,9,여자,영유아(0~5세),제주
12,낱말이 키득키득 ,글: 정순 ;그림: 권재준,웅진씽크빅,2010,,9788901102702,74800,863,9,여자,영유아(0~5세),제주
12,낱말이 아찔아찔 ,글: 정순 ;그림: 황미선,웅진씽크빅,2010,,9788901102719,74800,863,9,여자,영유아(0~5세),제주
12,낱말이 뱅글뱅글 ,글: 이지연 ;그림: 권송이,웅진씽크빅,2010,,9788901102726,74800,863,9,여자,영유아(0~5세),제주
12,낱말이 얼렁뚱땅 ,글: 채은해 ;그림: 민지나,웅진씽크빅,2010,,9788901102733,74800,863,9,여자,영유아(0~5세),제주
12,낱말이 새록새록 ,글: 채은해 ;그림: 임영란,웅진씽크빅,2010,,9788901102740,74800,863,9,여자,영유아(0~5세),제주
12,눈아이 :안녕달 그림책 ,지은이: 안녕달,창비,2021,,9788936455736,77810,813.7,9,여자,영유아(0~5세),제주
12,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,4,9788937848247,74830,833.6,9,여자,영유아(0~5세),제주
12,빵도둑 ,시바타 케이코 글·그림 ;황진희 옮김,길벗어린이,2021,105,9788955825961,77830,833.6,9,여자,영유아(0~5세),제주
12,"욕심은 그만, 레이스 장갑! :유설화 그림책 ",유설화,책읽는곰,2022,,9791158363154,77810,813.7,9,여자,영유아(0~5세),제주
12,샌드위치 소풍 ,글: 이수연 ;그림: 강은옥,키즈엠,2021,,9791164632060,74810,375.1,9,여자,영유아(0~5세),제주
12,빵이 되고 싶은 토끼 ,마루야마 나오 지음 ;고향옥 옮김,스푼북,2020,,9791165810184,77830,833.6,9,여자,영유아(0~5세),제주
28,내 멋대로 슈크림빵 :김지안 그림책 ,글·그림: 김지안,웅진씽크빅,2020,,9788901245324,74800,813.7,8,여자,영유아(0~5세),제주
28,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,1,9788937838750,74830,833.6,8,여자,영유아(0~5세),제주
28,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,3,9788937889714,74830,833.6,8,여자,영유아(0~5세),제주
28,(지글지글 자글자글) 소시지 탈출 ,미셸 로빈슨 글 ;김영선 옮김,보림출판사,2019,,9788943312312,77840,843,8,여자,영유아(0~5세),제주
28,수상한 신호등 ,더 캐빈 컴퍼니 글·그림 ;송태욱 옮김,비룡소,2020,,9788949105239,74800,833.6,8,여자,영유아(0~5세),제주
28,착한 달걀 ,조리 존 글 ;김경희 옮김,길벗어린이,2022,,9788955826418,74800,843,8,여자,영유아(0~5세),제주
28,초록 거북 ,릴리아 지음,킨더랜드,2021,,9788956180021,77810,813.7,8,여자,영유아(0~5세),제주
28,내가 다 열어 줄게 ,글·그림: 요시타케 신스케 ;옮김: 유문조,위즈덤하우스,2021,44,9788962478310,77800,833.6,8,여자,영유아(0~5세),제주
28,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,,9788966350759,74830,833.6,8,여자,영유아(0~5세),제주
28,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7,9791162339466,74830,833.6,8,여자,영유아(0~5세),제주
28,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,9791164137053,74830,833.6,8,여자,영유아(0~5세),제주
39,마법에 걸린 개구리 왕자 ,글: 디디에 뒤프레슨 ;번역: 신선영,웅진씽크빅,2010,,9788901102450,74800,863,7,여자,영유아(0~5세),제주
39,선생님을 조심해! ,글: 블랑딘 오뱅 ;번역: 신선영,웅진씽크빅,2010,,9788901102467,74800,863,7,여자,영유아(0~5세),제주
39,식빵 유령 ,글·그림: 윤지,웅진씽크빅,2020,,9788901245690,74800,813.7,7,여자,영유아(0~5세),제주
39,달 밝은 밤 :전미화 그림책 ,지은이: 전미화,창비,2020,,9788936447847,77810,813.7,7,여자,영유아(0~5세),제주
39,나를 봐 :최민지 그림책 ,지은이: 최민지,창비,2021,,9788936455729,77810,813.7,7,여자,영유아(0~5세),제주
39,(Disney princess) 진정한 나를 찾는 모험 :한 권으로 보는 용감한 공주들의 이야기 12편 ,디즈니 스토리북 미술 팀 그림 ;양윤선 옮김,미래엔,2017,,9788937821172,73840,843,7,여자,영유아(0~5세),제주
39,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,2,9788937853470,74830,833.6,7,여자,영유아(0~5세),제주
39,구름빵 잘하는 건 다 달라 ,"글·그림: GIMC,김향수",한솔교육,2013,13,9788953588264,74800,813.7,7,여자,영유아(0~5세),제주
39,(전쟁에 끌려간) 어린이 병사 ,"미셸 치콰니네,마술연필 옮김",푸른책들,2018,,9788961706599,77840,331,7,여자,영유아(0~5세),제주
39,우리는 언제나 다시 만나 ,윤여림 글 ;안녕달 그림,위즈덤하우스 미디어그룹,2017,,9788962478518,77800,813.7,7,여자,영유아(0~5세),제주
39,절대로 누르면 안 돼! 크리스마스에도 ,빌 코터 글·그림 ;이정훈 옮김,북뱅크,2020,,9788966351268,77840,843,7,여자,영유아(0~5세),제주
39,책 먹는 괴물 ,"저스틴 클라크,김경연 옮김",노란상상,2016,,9788997367603,77890,843,7,여자,영유아(0~5세),제주
39,루빈스타인은 참 예뻐요 ,펩 몬세라트 글·그림 ;이순영 옮김,북극곰,2014,,9788997728473,77840,843,7,여자,영유아(0~5세),제주
39,브로콜리지만 사랑받고 싶어 ,"별다름,서영 그림",키다리,2021,,9791157855506,77810,813.7,7,여자,영유아(0~5세),제주
39,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,,9791158360276,77810,813.7,7,여자,영유아(0~5세),제주
39,꽁꽁꽁 좀비 ,윤정주 글·그림,책읽는곰,2021,,9791158362478,77810,813.7,7,여자,영유아(0~5세),제주
39,꽁꽁꽁 좀비 ,윤정주 글·그림,책읽는곰,2021,78,9791158362478,77810,813.7,7,여자,영유아(0~5세),제주
39,케이크가 커졌어요! ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2021,,9791158362515,77830,833.6,7,여자,영유아(0~5세),제주
39,추피와 교통수단,무지개출판편집부,,2017,4,9791159422188,74860,375.1,7,여자,영유아(0~5세),제주
39,마음안경점 ,조시온 글 ;이소영 옮김,씨드북,2021,,9791160514223,77810,813.7,7,여자,영유아(0~5세),제주
39,바다가 좋아! 토끼 베이커리 ,글·그림: 마츠오 리카코 ;옮김: 문지연,지학사아르볼,2021,,9791162041178,77830,833.6,7,여자,영유아(0~5세),제주
39,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,5,9791162332542,74830,833.8,7,여자,영유아(0~5세),제주
39,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9,9791164134090,74830,833.6,7,여자,영유아(0~5세),제주
39,여름맛 ,글: 천미진 ;그림: 신진호,발견,2020,,9791164631704,77810,813.7,7,여자,영유아(0~5세),제주
39,"(로보카 폴리) 미끌미끌, 조심해! ",원작: 로이비쥬얼,로이비쥬얼,2020,10,9791186201817,74810,372.42,7,여자,영유아(0~5세),제주
39,(로보카 폴리) 병균을 조심해! ,원작: 로이비쥬얼,로이비쥬얼,2020,13,9791186201848,74810,372.42,7,여자,영유아(0~5세),제주
39,곰이 왔어! ,조수경 글·그림,올리,2021,,9791190931502,77810,813.7,7,여자,영유아(0~5세),제주
39,화가 호로록 풀리는 책 ,글: 신혜영 ;그림: 김진화,위즈덤하우스,2021,,9791191583403,77800,181,7,여자,영유아(0~5세),제주
39,세상의 모든 돈이 사라진 날 ,케이트 밀너 글·그림 ;정철우 옮김,꿈섬(꿈꾸는섬),2020,,9791196790356,77840,843,7,여자,영유아(0~5세),제주
68,도토리 마을의 경찰관 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2013,,9788901154336,74800,833.6,6,여자,영유아(0~5세),제주
68,종이아빠 ,글·그림: 이지은,웅진씽크빅,2014,,9788901163635,74810,813.7,6,여자,영유아(0~5세),제주
68,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,,9788901232232,74800,813.7,6,여자,영유아(0~5세),제주
68,친구의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2021,,9788901251226,74800,813.7,6,여자,영유아(0~5세),제주
68,동생이 생겼어요 ,글: 한지혜 ;그림: 정순희,그레이트 Books(그레이트북스),2019,13,9788927194552,74400,408,6,여자,영유아(0~5세),제주
68,어메이징 우주탐사 ,글: 정창훈 ;그림: 조준철,예림당,2016,,9788930258142,73440,443,6,여자,영유아(0~5세),제주
68,그렇게 그렇게 ,요시타케 신스케 글·그림 ;양지연 옮김,김영사,2021,,9788934990338,77830,833.6,6,여자,영유아(0~5세),제주
68,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9788936447694,74810,813.7,6,여자,영유아(0~5세),제주
68,튤립 호텔 :김지안 그림책 ,지은이: 김지안,창비,2022,,9788936455842,77810,813.7,6,여자,영유아(0~5세),제주
68,(Disney princess) 공주들의 소중한 보석 ,[지음: 디즈니 스토리북 아트 팀] ;옮김: 양선하,꿈꾸는 달팽이,2017,,9788939570320,74840,843,6,여자,영유아(0~5세),제주
68,당신은 셀 수 없이 소중해요 ,크리스틴 로시프테 지음 ;손화수 옮김,보림(보림출판사),2020,,9788943313203,74890,859.82,6,여자,영유아(0~5세),제주
68,괴물원 ,지은이: junaida ;옮긴이: 송태욱,비룡소,2021,299,9788949114125,74800,833.6,6,여자,영유아(0~5세),제주
68,갑자기 악어 아빠 ,소연 글 ;이주희 그림,비룡소,2021,,9788949162096,74800,813.7,6,여자,영유아(0~5세),제주
68,화난 마음 안아주기 ,쇼나 이니스 글 ;엄혜숙 옮김,북이십일,2019,1,9788950980818,77840,180,6,여자,영유아(0~5세),제주
68,참아야 하는 마음 안아주기 ,쇼나 이니스 글 ;조선미 옮김,북이십일 을파소,2020,9,9788950987077,77840,180,6,여자,영유아(0~5세),제주
68,틀리면 어떡해? ,김영진 글·그림,길벗어린이,2019,,9788955824896,77810,813.7,6,여자,영유아(0~5세),제주
68,물속에서 :박희진 그림책 ,박희진 글·그림,길벗어린이,2021,,9788955826180,77810,813.7,6,여자,영유아(0~5세),제주
68,"사라, 버스를 타다",윌리엄 밀러 글;박찬석 옮김,사계절출판사,2004,,9788958280378,77840,843,6,여자,영유아(0~5세),제주
68,우리는 딱이야 ,민 레 글 ;신형건 옮김,푸른책들,2020,,9788961707671,77840,843,6,여자,영유아(0~5세),제주
68,대장 토끼는 나다운 게 좋아 ,큐라이스 글·그림 ;황진희 옮김,토토북,2021,,9788964964422,77830,833.6,6,여자,영유아(0~5세),제주
68,딩동 거미 ,신성희 글·그림,한림출판사,2017,,9788970949970,77810,813.7,6,여자,영유아(0~5세),제주
68,1부터 100까지 숫자책 :숫자를 익히며 100가지 물건 찾기 ,"글: 어맨다 우드,옮김: 최용석",풀과바람,2020,,9788983898326,77410,410,6,여자,영유아(0~5세),제주
68,깜장 병아리 ,이기규 글 ;고은채 그림,여우고개,2014,,9788992855242,77810,813.7,6,여자,영유아(0~5세),제주
68,옆집 친구 ,지음: 미야노 사토코 ;옮김: 정주혜,담푸스,2019,,9788994449968,73830,833.6,6,여자,영유아(0~5세),제주
68,이까짓 거! ,지은이: 박현주,이야기꽃,2019,,9788998751432,77810,813.7,6,여자,영유아(0~5세),제주
68,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,1,9791130679990,74810,813.7,6,여자,영유아(0~5세),제주
68,이상한 엄마 ,백희나,책읽는곰,2016,,9791158360214,77810,813.7,6,여자,영유아(0~5세),제주
68,나는 개다 ,백희나,책읽는곰,2019,,9791158361365,77810,813.7,6,여자,영유아(0~5세),제주
68,딸기가 좋아! 토끼 베이커리 ,글·그림: 마츠오 리카코 ;옮김: 문지연,지학사아르볼,2021,,9791162040997,77830,833.6,6,여자,영유아(0~5세),제주
68,추리 천재 엉덩이 탐정과 카레 사건 ,트롤 글·그림 ;김정화 옮김,미래엔,2019,1,9791164130764,74830,833.6,6,여자,영유아(0~5세),제주
68,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9791164134847,77810,810,6,여자,영유아(0~5세),제주
68,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9791164135592,77810,810,6,여자,영유아(0~5세),제주
68,도토리랑 콩콩 :윤지회 그림책 ,지은이: 윤지회,미래엔,2020,,9791164137060,77810,813.7,6,여자,영유아(0~5세),제주
68,오늘 밤에는 어떤 꿈을 꿀까? ,구도 노리코 지음 ;엄혜숙 옮김,천개의바람,2021,,9791165732103,77830,833.6,6,여자,영유아(0~5세),제주
68,"달님, 왜 따라와요? ",이루리 글 ;송은실 그림,북극곰,2021,75,9791165881009,74810,813.7,6,여자,영유아(0~5세),제주
68,(특별하고 소중한) 낡은 여행 가방 ,글·그림: 크리스 네일러-발레스터로스 ;옮김: 김현희,이퍼블릭,2021,,9791166372803,77840,843,6,여자,영유아(0~5세),제주
68,아주 작은 과자 마을 ,사카이 사치에 글·그림 ;김현정 옮김,꿈터,2022,3,9791167390462,77830,833.6,6,여자,영유아(0~5세),제주
68,간다아아! ,글·그림: 코리 R. 테이버 ;옮김: 노은정,키즈스콜레,2022,,9791168250383,77840,843,6,여자,영유아(0~5세),제주
68,(로보카 폴리) 스쿨비랑 소풍 가요! ,원작: 로이비쥬얼,로이비쥬얼,2020,,9791186201732,74810,372.42,6,여자,영유아(0~5세),제주
68,(로보카 폴리) 위험한 숨바꼭질! ,원작: 로이비쥬얼,로이비쥬얼,2020,14,9791186201855,74810,372.42,6,여자,영유아(0~5세),제주
68,아이스크림 걸음! ,박종진 씀 ;송선옥 그림,소원나무,2018,,9791186531778,74810,813.7,6,여자,영유아(0~5세),제주
68,문어 목욕탕 ,최민지 글·그림,노란상상,2018,,9791188867127,77810,813.7,6,여자,영유아(0~5세),제주
68,맛있는 숲의 레몬 ,사토 메구미 지음 ;황진희 옮김,올리,2021,3,9791190931472,77830,833.6,6,여자,영유아(0~5세),제주
68,천하무적 개냥이 수사대,이승민 글 ;하민석 그림,위즈덤하우스,2020,2,9791191119114,74810,813.7,6,여자,영유아(0~5세),제주
68,잠이 오는 이야기 ,유희진 글·그림,책소유,2019,,9791196254056,77810,813.7,6,여자,영유아(0~5세),제주
68,따끈따끈 목욕탕 ,글쓴이: 간다 스미코 ;옮긴이: 황국영,북드림아이,2021,,9791197200168,77830,833.6,6,여자,영유아(0~5세),제주
114,포피와 샘의 똑딱똑딱 시계 보기,"헤더 애머리 (지은이), 스티븐 카트라이트 (그림), 조남주 (옮긴이)",어스본코리아,2021,,8809264181812,,,5,여자,영유아(0~5세),제주
114,"Oops, pounce, quick, run! :an alphabet caper ",Mike Twohy,Balzer & Bray                           ,2016,,9780062377005,,,5,여자,영유아(0~5세),제주
114,"Puppy Love! (Paperback, ACT)",Amy Ackelsberg (지은이),Grosset & Dunlap,2014,14,9780448481500,,,5,여자,영유아(0~5세),제주
114,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,21,9788901232232,74800,813.7,5,여자,영유아(0~5세),제주
114,넌 나의 우주야 ,글 그림: 앤서니 브라운 ;옮김: 공경희,웅진씽크빅,2020,,9788901240879,74800,843,5,여자,영유아(0~5세),제주
114,우주 전사 복실이 ,한미호 글 ;김유대 그림,국민서관,2018,,9788911126194,74810,813.7,5,여자,영유아(0~5세),제주
114,시큰둥이 고양이 ,소피 블랙올 글·그림 ;김서정 옮김,알에이치코리아,2022,,9788925578880,77840,843,5,여자,영유아(0~5세),제주
114,(Disney) 겨울왕국II,각색: 수잔 프랜시스 ;옮김: 안세라,애플비,2019,1,9788926211731,74650,843,5,여자,영유아(0~5세),제주
114,레오니의 재채기 곰 ,글: 에밀리 샤제랑 ;옮김: 북 도슨트,그레이트 Books(그레이트북스),2019,36,9788927192862,74800,808.3,5,여자,영유아(0~5세),제주
114,"앗, 피다! ",글: 전현정 ;그림: 정은희,그레이트 Books(그레이트북스),2019,22,9788927194644,74400,408,5,여자,영유아(0~5세),제주
114,규칙 속으로 출발! ,글: 박선미 ;그림: 김효주,그레이트 Books(그레이트북스),[2020],29,9788927195948,74410,410,5,여자,영유아(0~5세),제주
