순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9788954682152,3810,813.62,37,여자,60세 이상,제주
2,감정은 사회를 어떻게 움직이는가 =공포 감정의 거시사회학 /Towards the macro-sociology of emotion ,"지은이: 박형신,정수남",한길사,2015,,9788935660124,93330,331.1,26,여자,60세 이상,제주
2,가면들의 병기창 :발터 벤야민의 문제의식 ,문광훈 지음,한길사,2014,,9788935669103,3160,850.9,26,여자,60세 이상,제주
2,작은 인간:인류에 관한 102가지 수수께끼,마빈 해리스 지음;김찬호 옮김,민음사,1996,,9788937422140,3380,389,26,여자,60세 이상,제주
2,철학에의 기여 ,지은이: 마르틴 하이데거 ;옮긴이: 이선일,새물결,2015,,9788955593846,93300,165.84,26,여자,60세 이상,제주
2,개념어 사전 ,남경태 지음,휴머니스트 출판그룹,2012,,9788958624554,3100,31,26,여자,60세 이상,제주
2,세계철학사 =The history of world philosophy,이정우 지음,길,2018,1,9788964451526,93100,109,26,여자,60세 이상,제주
2,"발터 벤야민 평전 :위기의 삶, 위기의 비평 ","하워드 아일런드,김정아 옮김",글항아리,2018,,9788967355111,93100,165.7099,26,여자,60세 이상,제주
2,역사,이이화 지음,열림원,2007,,9788970635569,3910,911,26,여자,60세 이상,제주
2,"쇼펜하우어, 돌이 별이 되는 철학 :나를 마주하는 당당한 철학, 《의지와 표상으로서 세계》 읽기 ",이동용 지음,동녘,2014,,9788972977247,3100,165.47,26,여자,60세 이상,제주
2,대중들 ,"엮은이: 제프리 T. 슈나프,옮긴이: 양진비",그린비,2015,,9788976827852,93300,331.16,26,여자,60세 이상,제주
2,철학을 다시 쓴다 :있음과 없음에서 함과 됨까지 ,윤구병 글,보리,2013,,9788984287808,3100,112,26,여자,60세 이상,제주
2,길 위의 독서 :바람구두 인생 서평 ,지은이: 전성원,뜨란,2018,,9788990840400,3110,29.1,26,여자,60세 이상,제주
2,다시 자본을 읽자 ,지은이: 고병권,천년의상상,2018,1,9791185811598,4100,320.17,26,여자,60세 이상,제주
