순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,24,남자,60세 이상,울산
2,김형석의 인생문답 :100명의 질문에 100년의 지혜로 답하다 ,지은이: 김형석,교학사,2022,,9791188632039,3190,199.1,21,남자,60세 이상,울산
3,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,1,9788973377947,4810,813.6,20,남자,60세 이상,울산
3,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,20,남자,60세 이상,울산
5,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,3,9788965746843,4810,813.62,19,남자,60세 이상,울산
5,텃밭농사 무작정 따라하기 :베란다 텃밭부터 100평 큰 밭까지 완벽 학습 ,심철흠 지음,길벗,2017,,9791160501742,13320,525.4,19,남자,60세 이상,울산
7,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,2,9788973377954,4810,813.6,18,남자,60세 이상,울산
7,황제 :이원호 장편개척소설 ,이원호 지음,한결미디어,2021,1,9791159161544,4810,813.62,18,남자,60세 이상,울산
7,(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ,박영옥 지음,센시오,2021,,9791166570421,3320,327.856,18,남자,60세 이상,울산
10,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,17,남자,60세 이상,울산
10,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9788965746836,4810,813.62,17,남자,60세 이상,울산
10,전념 :나와 세상을 바꾸는 힘에 관하여 ,피트 데이비스 지음 ;신유희 옮김,상상스퀘어,2022,,9791197549335,3300,199.1,17,남자,60세 이상,울산
13,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,1,9788954621083,4810,813.62,16,남자,60세 이상,울산
14,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,2,9788954621090,4810,813.62,15,남자,60세 이상,울산
14,황제 :이원호 장편개척소설 ,이원호 지음,한결미디어,2021,2,9791159161551,4810,813.62,15,남자,60세 이상,울산
14,삶이 던지는 질문은 언제나 같다 :시대의 지성 찰스 핸디가 전하는 삶의 철학 ,찰스 핸디 지음 ;강주헌 옮김,인플루엔셜,2022,,9791168340107,3100,199.1,15,남자,60세 이상,울산
17,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,1,9788965708322,4810,813.62,14,남자,60세 이상,울산
17,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,2,9788965708339,4810,813.62,14,남자,60세 이상,울산
17,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,3,9788973377961,4810,813.6,14,남자,60세 이상,울산
17,백조와 박쥐 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2021,,9791190885928,3830,833.6,14,남자,60세 이상,울산
17,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message ,송길영 지음,북스톤,2021,,9791191211467,3320,331.544,14,남자,60세 이상,울산
22,꽃잎 한 장처럼 :오늘을 살아가는 당신을 위한 이해인 수녀의 시 편지 ,지은이: 이해인,샘터(샘터사),2022,,9788946422056,3810,811.62,13,남자,60세 이상,울산
22,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,8,9788954621601,4810,813.62,13,남자,60세 이상,울산
22,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,10,9788954622448,4810,813.62,13,남자,60세 이상,울산
