순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9791191824001,3810,813.7,37,여자,60세 이상,울산
2,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9788954672214,3810,813.7,31,여자,60세 이상,울산
3,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9788949123493,44800,813.7,27,여자,60세 이상,울산
4,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9788954682152,3810,813.62,24,여자,60세 이상,울산
5,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,20,여자,60세 이상,울산
6,미스터 션샤인 =드라마 원작소설 /Mr. Sunshine ,극본: 김은숙 ;소설 스토리컬쳐: 김수연,RHK(알에이치코리아),2018,1,9788925564685,4810,813.7,19,여자,60세 이상,울산
7,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,16,여자,60세 이상,울산
7,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,16,여자,60세 이상,울산
9,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9788954681179,3810,813.7,15,여자,60세 이상,울산
9,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,15,여자,60세 이상,울산
11,햇빛은 찬란하고 인생은 귀하니까요 :밀라논나 이야기 ,장명숙 지음,김영사,2021,,9788934985051,3810,818,14,여자,60세 이상,울산
11,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,14,여자,60세 이상,울산
11,백조와 박쥐 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2021,,9791190885928,3830,833.6,14,여자,60세 이상,울산
11,부서진 여름 :이정명 장편소설 ,지은이: 이정명,은행나무,2021,,9791191071573,3810,813.7,14,여자,60세 이상,울산
11,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message ,송길영 지음,북스톤,2021,,9791191211467,3320,331.544,14,여자,60세 이상,울산
16,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,글: 송도수 ;서정 엔터테인먼트,서울문화사,2006,38,9788926395837,67410,410,13,여자,60세 이상,울산
16,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9788965746836,4810,813.62,13,여자,60세 이상,울산
16,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,13,여자,60세 이상,울산
16,민법판례 ,지원림 지음,박영사,2021,,9791130338712,93360,365,13,여자,60세 이상,울산
16,사이에 대하여 :최민자 수필집 ,최민자,연암서가,2021,,9791160870794,3810,814.7,13,여자,60세 이상,울산
16,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9791191114225,3810,813.62,13,여자,60세 이상,울산
16,대한민국 부동산 지난 10년 앞으로 10년 :집 사기 전에 꼭 읽어야 할 부동산 정책 사용설명서 ,채상욱 지음,라이프런,2020,,9791196625931,3320,321.326,13,여자,60세 이상,울산
23,꽃잎 한 장처럼 :오늘을 살아가는 당신을 위한 이해인 수녀의 시 편지 ,지은이: 이해인,샘터(샘터사),2022,,9788946422056,3810,811.62,12,여자,60세 이상,울산
23,H마트에서 울다 ,미셸 자우너 지음 ;정혜윤 옮김,문학동네,2022,,9788954683371,3840,848,12,여자,60세 이상,울산
