,userInfo,서명
0,남자20대광주000,(비전공자를 위한 이해할 수 있는) IT 지식 
1,남자20대광주000,지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리
2,남자20대광주000,"(한 권으로 읽는) 컴퓨터 구조와 프로그래밍 :더 나은 소프트웨어 개발을 위한 하드웨어, 자료구조, 필수 알고리즘 등 프로그래머의 비밀 노트 "
3,남자20대광주000,(프로크리에이트로 배우는) 자토의 아이패드 드로잉 클래스 :혼자 공부하는 일상 드로잉부터 굿즈 제작 노하우까지 
4,남자20대광주000,(Do it!) 첫 코딩 with 파이썬 :보통 사람이 알아야 할 프로그래밍 기초 
5,남자20대광주100,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 
6,남자20대광주100,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 "
7,남자20대광주100,시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 
8,남자20대광주100,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 
9,남자20대광주100,인간 본성의 법칙 
10,남자20대광주200,(지금 시작하는) 그리스 로마 신화 =유럽의 문화와 예술을 깊이 이해하기 위한 필독서 /The Greek&Roman mythology 
11,남자20대광주300,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 
12,남자20대광주300,마지막 몰입 :나를 넘어서는 힘 
13,남자20대광주300,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 
14,남자20대광주300,(대한민국 주식투자자를 위한) 완벽한 재무제표 읽기 :한눈에 오를 주식만 골라내는 재무제표 완전 공략법 
15,남자20대광주300,아비투스 :인간의 품격을 결정하는 7가지 자본 
16,남자20대광주400,이기적 유전자 
17,남자20대광주400,코스모스 :특별판 
18,남자20대광주400,클래식 파인만 :천재 물리학자 파인만의 유쾌한 모험 
19,남자20대광주400,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 "
20,남자20대광주400,위험한 과학책 :지구 생활자들의 엉뚱한 질문에 대한 과학적 답변 
21,남자20대광주500,(천재인가 미치광이인가) 도파민형 인간 
22,남자20대광주500,"인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain "
23,남자20대광주500,공간의 미래 :코로나가 가속화시킨 공간 변화 
24,남자20대광주500,(도시농부 올빼미의) 텃밭 가이드
25,남자20대광주500,우리는 왜 잠을 자야 할까 :수면과 꿈의 과학 
26,남자20대광주600,"영화 편집 :역사, 개념, 용어 "
27,남자20대광주600,방구석 미술관
28,남자20대광주600,김도훈 작곡법 
29,남자20대광주700,독일어 회화 핵심패턴 233 =생활 밀착형 패턴 233개로 일상에서 시험 준비까지 OK! /233 essential patterns for German conversation 
30,남자20대광주700,프랑스어 회화 핵심패턴 233 =233 essential patterns for French conversation 
31,남자20대광주700,네이티브는 쉬운 독일어로 말한다 
32,남자20대광주700,오픽노잼 :스크립트 없이 오픽 쌉가능 
33,남자20대광주800,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 "
34,남자20대광주800,인간 실격
35,남자20대광주800,눈물을 마시는 새
36,남자20대광주800,나미야 잡화점의 기적 :히가시노 게이고 장편소설 
37,남자20대광주800,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 
38,남자20대광주900,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 "
39,남자20대광주900,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 
40,남자20대대구000,지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리
41,남자20대대구000,혼자 공부하는 파이썬 :1:1 과외하듯 배우는 프로그래밍 자습서 
42,남자20대대구000,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 
43,남자20대대구000,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실을 통찰하게 하는 지식 여행서
44,남자20대대구000,(비전공자를 위한 이해할 수 있는) IT 지식 
45,남자20대대구100,정의란 무엇인가 
46,남자20대대구100,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 
47,남자20대대구100,12가지 인생의 법칙 :혼돈의 해독제 
